HSHEET,YEAR,Longitude (Geographic NAD83),Latitude (Geographic NAD83),Longitude (UTM NAD83),Latitude (UTM NAD83),Historical sounding (Mean lower low water),LiDAR elevation (Mean lower low water),Difference = LiDAR - Historical
H08576,1961,156.44075W,20.91708N,766193.0467,2315094.392,-5.7768,-6.705000401,-0.928200401
H08576,1961,156.43769W,20.91469N,766514.9902,2314834.318,-4.8768,-5.528000355,-0.651200355
H08576,1961,156.44185W,20.91486N,766082.7062,2314846.694,-7.7768,-9.559000969,-1.782200969
H08576,1961,156.48865W,20.93316N,761180.5524,2316796.7,-6.6768,-7.413000584,-0.736200584
H08576,1961,156.43123W,20.92150N,767175.5967,2315598.988,-5.1768,-6.600000381,-1.423200381
H08576,1961,156.42926W,20.92522N,767374.0922,2316014.506,-9.3768,-11.13600063,-1.759200633
H08576,1961,156.47129W,20.90602N,763034.1767,2313818.391,-14.3768,-15.22200108,-0.845201076
H08576,1961,156.49232W,20.93687N,760792.2632,2317201.387,-4.8768,-5.250000477,-0.373200477
H08576,1961,156.43202W,20.91660N,767102.3803,2315055.64,-4.9768,-5.502000332,-0.525200332
H08576,1961,156.48569W,20.94187N,761473.5074,2317766.179,-19.2768,-19.99000168,-0.713201679
H08576,1961,156.49444W,20.93939N,760567.1075,2317477.248,-7.5768,-7.825000286,-0.248200286
H08576,1961,156.43305W,20.92247N,766984.0652,2315703.602,-7.7768,-8.720000267,-0.943200267
H08576,1961,156.43328W,20.92100N,766962.9332,2315541.187,-6.6768,-7.754000187,-1.077200187
H08576,1961,156.44370W,20.90621N,765904.8266,2313885.59,-3.7768,-3.501000166,0.275799834
H08576,1961,156.43848W,20.92182N,766421.2072,2315622.591,-10.6768,-12.9800005,-2.303200496
H08576,1961,156.43029W,20.92329N,767270.4293,2315799.807,-9.0768,-10.07000065,-0.993200649
H08576,1961,156.42563W,20.91917N,767762.4743,2315350.938,-4.8768,-6.540000439,-1.663200439
H08576,1961,156.43926W,20.91333N,766354.1051,2314681.748,-4.8768,-6.442000389,-1.565200389
H08576,1961,156.44144W,20.91565N,766123.8838,2314934.204,-6.2768,-7.095000267,-0.818200267
H08576,1961,156.44564W,20.91497N,765688.1082,2314852.369,-15.0768,-16.96000099,-1.883200992
H08576,1961,156.42855W,20.92465N,767449.3888,2315953.453,-10.8768,-12.39100075,-1.514200748
H08576,1961,156.43281W,20.92458N,767005.908,2315938.591,-10.4768,-12.50200081,-2.025200809
H08576,1961,156.43267W,20.92374N,767022.3983,2315844.8,-8.6768,-9.516000748,-0.839200748
H08576,1961,156.42893W,20.91614N,767424.5602,2315009.177,-7.5768,-7.127000332,0.449799668
H08576,1961,156.43165W,20.91889N,767136.2968,2315310.21,-2.9768,-5.179000378,-2.202200378
H08576,1961,156.42706W,20.91824N,767614.9054,2315245.208,-7.1768,-8.241000175,-1.064200175
H08576,1961,156.43614W,20.92341N,766661.4669,2315803.241,-13.4768,-14.0880003,-0.611200298
H08576,1961,156.48605W,20.93711N,761443.812,2317237.851,-11.0768,-12.22300053,-1.146200526
H08576,1961,156.43196W,20.91735N,767107.1883,2315138.916,-9.0768,-9.81000042,-0.73320042
H08576,1961,156.43721W,20.91900N,766557.8341,2315312.477,-5.7768,-6.517000198,-0.740200198
H08576,1961,156.42807W,20.92250N,767502.3354,2315715.452,-5.1768,-6.345000267,-1.168200267
H08576,1961,156.42908W,20.92139N,767399.2033,2315590.939,-4.8768,-8.348999977,-3.472199977
H08576,1961,156.43791W,20.91437N,766492.8593,2314799.178,-4.4768,-7.980000496,-3.503200496
H08576,1961,156.48723W,20.93340N,761327.167,2316825.031,-8.0768,-9.209000587,-1.132200587
H08576,1961,156.42963W,20.91983N,767345.157,2315417.139,-4.6768,-5.022000313,-0.345200313
H08576,1961,156.43201W,20.91951N,767097.8455,2315377.837,-3.5768,-4.354000092,-0.777200092
H08576,1961,156.42283W,20.92430N,768044.831,2315923.354,-8.4768,-7.959000587,0.517799413
H08576,1961,156.42690W,20.92437N,767621.3784,2315925.082,-10.2768,-11.06100082,-0.784200824
H08576,1961,156.42649W,20.92598N,767660.4609,2316103.518,-10.8768,-12.55400085,-1.677200855
H08576,1961,156.42878W,20.92516N,767423.7185,2316009.431,-10.4768,-12.66900063,-2.192200626
H08576,1961,156.42727W,20.91721N,767595.7074,2315131.236,-8.8768,-10.02500057,-1.148200572
H08576,1961,156.46901W,20.90348N,763275.362,2313541.476,-13.7768,-15.13100052,-1.354200519
H08576,1961,156.46536W,20.90365N,763655.8615,2313566.425,-4.2768,-4.301000118,-0.024200118
